id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/daysevent02/day_chara.txt#6#12,夢セカイとの印象の違い,和在梦世界里的印象不太一样呢,translated,,76640edf18,br=0 nl=0,1,
inc/event/res/daysevent02/day_chara.txt#7#12,何も話さない,什么都不说,translated,,9b1bf68706,br=0 nl=0,1,
inc/event/res/daysevent02/day_chara.txt#11#12,"それはその……
実はわたしもちょっとだけ感じてたの。","那个……其实关于这点，
我私下里也有稍微感觉到一些呢。",translated,依恩,a6a8a5a829,br=0 nl=1,2,
inc/event/res/daysevent02/day_chara.txt#12#12,"夢の……記憶の中のわたしは
今よりずっとおどおどしてた……。","梦里的……记忆里的我，
感觉比现在的我要胆怯懦弱得多呢……",translated,依恩,fdfb0f71bd,br=0 nl=1,2,
inc/event/res/daysevent02/day_chara.txt#13#12,"何があったのか、今のわたしには
全然分からないけど……。","虽然究竟发生过什么事，
现在的我完全一无所知就是了……",translated,依恩,694d7324a6,br=0 nl=1,2,
inc/event/res/daysevent02/day_chara.txt#14#12,"少しだけ……記憶を取り戻していくのが
怖くなっちゃった……。","对于一步步找回记忆这件事，
我不禁稍微感到有点害怕了……",translated,依恩,b5d1991ac8,br=0 nl=1,2,
inc/event/res/daysevent02/day_chara.txt#15#12,"でも、それじゃダメだよね。
あなたがいるし……わたし、がんばるね。","不过，这样退缩可不行呢。
因为有你在身边……我会好好加油的。",translated,依恩,e5aba9df0e,br=0 nl=1,2,
inc/event/res/daysevent02/day_chara.txt#16#12,"だから……これからもお願いします。
えへへ。","所以……今后也请多多关照我哦。
嘿嘿。",translated,依恩,6187d2e507,br=0 nl=1,2,
inc/event/res/daysevent02/day_cook01.txt#5#12,"そういえば、あなたが来るまでは
グルメイトしか食べたことがなかったの。","说起来，在你过来之前，
我平时就只吃过美食伴侣呢。",translated,依恩,6ea19f6bf9,br=0 nl=1,2,
inc/event/res/daysevent02/day_cook01.txt#6#12,"えっとつまり、全然お料理を
してなかったってことなんだけど……。","也就是说，我之前根本就
从来没有亲手做过料理……",translated,依恩,352e25ea81,br=0 nl=1,2,
inc/event/res/daysevent02/day_cook01.txt#7#12,"今更だけど、
ちょっと怠けすぎでした……。","虽然现在说可能有点晚了，
但我以前确实太懒散懈怠了……",translated,依恩,238399c6ff,br=0 nl=1,2,
inc/event/res/daysevent02/day_cook01.txt#8#12,"でも、グルメイトもそこそこ
食べれるんだよ？","不过，美食伴侣其实也还算
勉勉强强能咽得下去哦？",translated,依恩,f79af1e85c,br=0 nl=1,2,
inc/event/res/daysevent02/day_cook01.txt#9#12,他の物、食べたくならなかった？,你就没想过要吃点别的东西吗？,translated,,69b6f3093f,br=0 nl=0,1,
inc/event/res/daysevent02/day_cook01.txt#14#12,それじゃあ、またお話しようね。,那么，之后再聊吧。,translated,依恩,3515986b63,br=0 nl=0,1,
inc/event/res/daysevent02/day_cook01.txt#21#12,"う～ん、そういう気持ちには
ならなかったかなぁ？","唔～好像并没有萌生过
那种念头呢？",translated,依恩,144b026482,br=0 nl=1,2,
inc/event/res/daysevent02/day_cook01.txt#22#12,それが当たり前って思ってたから……。,因为我一直觉得那是理所当然的嘛……,translated,依恩,6c363a9e3e,br=0 nl=0,1,
inc/event/res/daysevent02/day_cook01.txt#23#12,"けど今は普通にお料理して、
おいしいものを食べたいって思うの。","但现在的我，就特别想好好做饭，
吃上美味可口的饭菜呢。",translated,依恩,0000cfc1e3,br=0 nl=1,2,
inc/event/res/daysevent02/day_hobb01.txt#6#12,イオンの趣味,依欧的兴趣爱好,translated,,44c14d47e3,br=0 nl=0,1,
inc/event/res/daysevent02/day_hobb01.txt#7#12,何も話さない,什么都不说,translated,,9b1bf68706,br=0 nl=0,1,
inc/event/res/daysevent02/day_hobb01.txt#11#12,え？　わたしの趣味？,诶？我的兴趣爱好吗？,translated,依恩,7f6905aeb9,br=0 nl=0,1,
inc/event/res/daysevent02/day_hobb01.txt#12#12,"う～ん、日記は趣味っていうより日課だし、
機械作り以外だと読書がそうかな。","唔～写日记与其说是爱好倒不如说是习惯，
摆弄机械以外的话大概就是读书了吧。",translated,依恩,36406f4ce5,br=0 nl=1,2,
inc/event/res/daysevent02/day_hobb01.txt#13#12,って、これは前にも言ったよね。,啊，不过这个我之前好像也说过了呢。,translated,依恩,f1d2ba3173,br=0 nl=0,1,
inc/event/res/daysevent02/day_hobb01.txt#14#12,けどやっぱり、この二つ……だと思う。,但果然主要的还是这两样……吧。,translated,依恩,b51cfa35a4,br=0 nl=0,1,
inc/event/res/daysevent02/day_hobb01.txt#15#12,"ここは本を読むにも、
機械を作るのにも不便はないから、
そういう意味では恵まれているかも。","这里无论是看书还是制作机械
都相当方便，
从这个意义上来说我也算挺幸运的呢。",translated,依恩,fde0f3b328,br=0 nl=2,3,
inc/event/res/daysevent02/day_hobb01.txt#16#14,"読書で知って、
機械で実践。
色々やれて楽しいよ♪","从读书中获取知识，
再亲自动手制作机械。
能做各种事情真开心♪",translated,,7accb17069,br=0 nl=2,3,
