id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/dateevent48/akua_int.txt#2#12,…むにゃ……。,……呜喵……,translated,依恩,5eb020476e,br=0 nl=0,1,
inc/event/res/dateevent48/akua_int.txt#6#12,"水族館に行きたいの？
んー………どうしようかな…。","想去水族馆吗？
嗯～………该怎么办呢……",translated,依恩,1026cbe707,br=0 nl=1,2,
inc/event/res/dateevent48/akua_int.txt#7#12,やっぱりまた今度！　ね…？,果然还是下次吧！好…吗？,translated,依恩,28876491de,br=0 nl=0,1,
inc/event/res/dateevent48/akua_int.txt#9#12,"う～ん……今日は水族館に
行きたい気分じゃないの。","唔～嗯……今天我不是
很想去水族馆呢。",translated,依恩,07e723c0da,br=0 nl=1,2,
inc/event/res/dateevent48/akua_int.txt#10#12,せっかく誘ってくれたのに、ごめんね。,难得你特意邀请我，对不起哦。,translated,依恩,3402694a29,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#3#12,"アクアドームは水族館の水槽を
そっくりに作った物なんだよ。","水穹顶是照着水族馆的水槽
分毫不差地做出来的东西哦。",translated,依恩,d6efcde18b,br=0 nl=1,2,
inc/event/res/dateevent48/aqua_doom02.txt#4#12,早速確かめに行こうか？,这就去确认看看吧？,translated,,d157d81b91,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#5#12,今度確認しに行こうね,下次再去确认吧,translated,,1c1179dd5a,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#7#12,うん、楽しみにしてるね。,嗯，我很期待哦。,translated,依恩,0c9c113d87,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#12#12,"うん、わたしもちゃんとそっくりに
なってるか、確認したいと思ってたの。","嗯，我也很想去确认一下，
看是不是真的做得分毫不差呢。",translated,依恩,72b7993aa8,br=0 nl=1,2,
inc/event/res/dateevent48/aqua_doom02.txt#13#12,それじゃ、早速出発しよ。,那么，这就立刻出发吧。,translated,依恩,bd6755b2a0,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#15#12,……到着した？,……到达了吗？,translated,依恩,1caf4926eb,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#16#12,"わぁ……今日もお魚さん、
元気いっぱいだね。","哇啊……今天的小鱼们，
也是活力十足呢。",translated,依恩,5b830f5fe7,br=0 nl=1,2,
inc/event/res/dateevent48/aqua_doom02.txt#17#12,えへへ、早速見て回ろうよ。,嘿嘿，我们赶紧到处看看吧。,translated,依恩,61479cfd0c,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#19#12,ねえねえ、この水槽の中の様子、わかる？,呐呐，你能看出这个水槽里的模样吗？,translated,依恩,3a8ba92bba,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#20#12,"アクアドームで参考にした水槽って、
これのことなんだよ。","做水穹顶时参考的水槽，
指的就是这个哦。",translated,依恩,28838e03e5,br=0 nl=1,2,
inc/event/res/dateevent48/aqua_doom02.txt#21#12,"う～ん……写真を見ながら作ったわけじゃ
無いから、変なところもあると思ったん
だけどなぁ。","唔～嗯……毕竟不是看着照片做的，
我还以为肯定会有
奇怪不协调的地方呢。",translated,依恩,41ff1a7d18,br=0 nl=2,3,
inc/event/res/dateevent48/aqua_doom02.txt#22#12,"なんか、意外とそっくりに作れてて、
自分でもびっくりかも。","没想到意外地还原得一模一样，
连我自己都有点吓了一跳呢。",translated,依恩,8c1f9b6697,br=0 nl=1,2,
inc/event/res/dateevent48/aqua_doom02.txt#24#12,さすがイオンだね,真不愧是依欧呢,translated,,e74eaae62d,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#25#12,そうかな？,是这样吗？,translated,,14df58a342,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#27#12,えへへ、褒められちゃった。,诶嘿嘿，被夸奖了。,translated,依恩,77605021c4,br=0 nl=0,1,
inc/event/res/dateevent48/aqua_doom02.txt#31#12,"そっくりだよ。
もぉ、少しは褒めてくれてもいいのに……。","明明就一模一样嘛。
真是的，稍微夸我两句又不会怎样……",translated,依恩,5d2d4b46df,br=0 nl=1,2,
inc/event/res/dateevent48/aqua_doom02.txt#33#12,"でも、これを作り始めた時は正直、
大変な物を作っちゃったなぁ、
って少しだけ後悔してたの。","不过刚开始做这个的时候，说实话，
我还稍微有点后悔
自己怎么挑了个这么费劲的东西呢。",translated,依恩,2d6da19578,br=0 nl=2,3,
inc/event/res/dateevent48/aqua_doom02.txt#34#12,"基本的な構造は簡単なんだけど、
アクアドームって中を作るのが
すごく大変で……。","虽然基础结构很简单，
但水穹顶内部的构造
制作起来真的超级费劲……",translated,依恩,8aa205e6e0,br=0 nl=2,3,
